date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-06-27 23:30:00+00:00,Ceara,Sao Paulo,0.2894736842105263,0.2894736842105263,1,-8,50,48
2021-06-28 23:00:00+00:00,Atletico Goianiense,RB Bragantino,0.34210526315789475,0.3684210526315789,-3,9,53,56
2021-06-30 19:00:00+00:00,Fluminense,Atletico Paranaense,0.39473684210526316,0.34210526315789475,0,-4,54,47
2021-06-30 19:00:00+00:00,Fortaleza EC,Chapecoense-sc,0.4473684210526316,0.02631578947368421,-1,-40,58,15
2021-06-30 22:00:00+00:00,Internacional,Palmeiras,0.3157894736842105,0.5263157894736842,2,15,48,66
2021-06-30 22:00:00+00:00,Bahia,America Mineiro,0.2894736842105263,0.34210526315789475,-9,4,43,53
2021-06-30 23:30:00+00:00,Santos,Sport Recife,0.3157894736842105,0.23684210526315788,-5,-13,50,38
2021-07-01 00:30:00+00:00,Corinthians,Sao Paulo,0.39473684210526316,0.2894736842105263,4,-8,57,48
2021-07-01 00:30:00+00:00,Juventude,Gremio,0.2894736842105263,0.3157894736842105,-8,-7,46,43
2021-07-01 19:00:00+00:00,RB Bragantino,Ceara,0.3684210526315789,0.2894736842105263,9,1,56,50
2021-07-01 22:00:00+00:00,Atletico-MG,Atletico Goianiense,0.6842105263157895,0.34210526315789475,33,-3,84,53
2021-07-01 23:00:00+00:00,Cuiaba,Flamengo,0.2631578947368421,0.5526315789473685,-3,33,47,71
2021-07-03 22:00:00+00:00,America Mineiro,Santos,0.34210526315789475,0.3157894736842105,4,-5,53,50
2021-07-03 22:00:00+00:00,Atletico Paranaense,Fortaleza EC,0.34210526315789475,0.4473684210526316,-4,-1,47,58
2021-07-04 00:00:00+00:00,Corinthians,Internacional,0.39473684210526316,0.3157894736842105,4,2,57,48
2021-07-04 14:00:00+00:00,Chapecoense-sc,Bahia,0.02631578947368421,0.2894736842105263,-40,-9,15,43
2021-07-04 19:00:00+00:00,Flamengo,Fluminense,0.5526315789473685,0.39473684210526316,33,0,71,54
2021-07-04 19:00:00+00:00,Sport Recife,Palmeiras,0.23684210526315788,0.5263157894736842,-13,15,38,66
2021-07-04 21:15:00+00:00,Sao Paulo,RB Bragantino,0.2894736842105263,0.3684210526315789,-8,9,48,56
2021-07-04 21:15:00+00:00,Ceara,Juventude,0.2894736842105263,0.2894736842105263,1,-8,50,46
2021-07-04 21:15:00+00:00,Cuiaba,Atletico-MG,0.2631578947368421,0.6842105263157895,-3,33,47,84
2021-07-04 23:30:00+00:00,Gremio,Atletico Goianiense,0.3157894736842105,0.34210526315789475,-7,-3,43,53
2021-07-06 22:30:00+00:00,Santos,Atletico Paranaense,0.3157894736842105,0.34210526315789475,-5,-4,50,47
2021-07-07 21:00:00+00:00,Bahia,Juventude,0.2894736842105263,0.2894736842105263,-9,-8,43,46
2021-07-07 21:00:00+00:00,Fortaleza EC,America Mineiro,0.4473684210526316,0.34210526315789475,-1,4,58,53
2021-07-07 21:00:00+00:00,RB Bragantino,Cuiaba,0.3684210526315789,0.2631578947368421,9,-3,56,47
2021-07-07 22:00:00+00:00,Palmeiras,Gremio,0.5263157894736842,0.3157894736842105,15,-7,66,43
2021-07-07 22:00:00+00:00,Atletico-MG,Flamengo,0.6842105263157895,0.5526315789473685,33,33,84,71
2021-07-07 22:15:00+00:00,Atletico Goianiense,Sport Recife,0.34210526315789475,0.23684210526315788,-3,-13,53,38
2021-07-08 00:30:00+00:00,Internacional,Sao Paulo,0.3157894736842105,0.2894736842105263,2,-8,48,48
2021-07-08 00:30:00+00:00,Fluminense,Ceara,0.39473684210526316,0.2894736842105263,0,1,54,50
2021-07-09 00:00:00+00:00,Chapecoense-sc,Corinthians,0.02631578947368421,0.39473684210526316,-40,4,15,57
2021-07-10 19:30:00+00:00,Palmeiras,Santos,0.5263157894736842,0.3157894736842105,15,-5,66,50
2021-07-10 19:30:00+00:00,Gremio,Internacional,0.3157894736842105,0.3157894736842105,-7,2,43,48
2021-07-10 20:30:00+00:00,Atletico Paranaense,RB Bragantino,0.34210526315789475,0.3684210526315789,-4,9,47,56
2021-07-10 22:00:00+00:00,Sport Recife,Fluminense,0.23684210526315788,0.39473684210526316,-13,0,38,54
2021-07-10 22:00:00+00:00,America Mineiro,Atletico-MG,0.34210526315789475,0.6842105263157895,4,33,53,84
2021-07-10 22:00:00+00:00,Sao Paulo,Bahia,0.2894736842105263,0.2894736842105263,-8,-9,48,43
2021-07-11 14:00:00+00:00,Juventude,Atletico Goianiense,0.2894736842105263,0.34210526315789475,-8,-3,46,53
